"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"13133";"«Ботанический пер.», Протопоповский переулок (в центр)";"37.6391075490092";"55.7799741320013";"Протопоповский переулок";"Центральный административный округ";"Мещанский район";"Тм19; Тм7";"Ботанический пер.";"в центр";"нет";"";"активна";"1725512";"{type=Point, coordinates=[37.6391075797571, 55.779973763895]}";
"13134";"«Ботанический пер.», Протопоповский переулок (от центра)";"37.6397057542585";"55.7798171890125";"Протопоповский переулок";"Центральный административный округ";"Мещанский район";"Тм19; Тм7";"Ботанический пер.";"от центра";"нет";"";"активна";"1725513";"{type=Point, coordinates=[37.63970578497, 55.7798168209431]}";
"13135";"«4-й Самотечный пер.», 3-й Самотёчный переулок (от центра) (1)";"37.6128336123307";"55.7794295301101";"3-й Самотёчный переулок";"Центральный административный округ";"Тверской район";"Тм19; Тм7";"4-й Самотечный пер.";"от центра";"нет";"";"активна";"1725514";"{type=Point, coordinates=[37.6128336427521, 55.779429161656]}";
"13136";"«Ул. Гиляровского», улица Гиляровского (от центра)";"37.6310024923251";"55.7792859431604";"улица Гиляровского";"Центральный административный округ";"Мещанский район";"Тм19; Тм7";"Ул. Гиляровского";"от центра";"нет";"";"активна";"1725515";"{type=Point, coordinates=[37.6310025229504, 55.7792855749108]}";
"13137";"«Б. Балканский пер.», Каланчёвская улица (в центр)";"37.6459982256045";"55.7788479640839";"Каланчёвская улица";"Центральный административный округ";"Красносельский район";"Тм19; Тм7; Тб14";"Б. Балканский пер.";"в центр";"нет";"";"активна";"1725516";"{type=Point, coordinates=[37.6459982562349, 55.7788475957246]}";
"13138";"«Ул. Сергея Эйзенштейна», проспект Мира (в центр)";"37.6500655573994";"55.8294830177242";"проспект Мира";"Северо-Восточный административный округ";"район Ростокино";"Тм17";"Ул. Сергея Эйзенштейна";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1725517";"{type=Point, coordinates=[37.6500655885247, 55.8294826499344]}";
"13142";"«Д/к Метростроя», Костомаровский переулок (от центра) (3)";"37.6648908949913";"55.7514201216408";"Костомаровский переулок";"Центральный административный округ";"Таганский район";"Тм20";"Д/к Метростроя";"от центра";"нет";"";"активна";"1725518";"{type=Point, coordinates=[37.6648909256563, 55.7514197532455]}";
"11235";"«1-й Магистральный тупик», 1-я Магистральная улица (в центр)";"37.5326602801285";"55.7662925207983";"1-я Магистральная улица";"Северный административный округ";"Хорошёвский район";"А27; А294";"1-й Магистральный тупик";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1725519";"{type=Point, coordinates=[37.5326603107525, 55.7662921527657]}";
"11237";"«Северодвинская ул., 9», Северодвинская улица (от центра)";"37.6798018478906";"55.8884259694093";"Северодвинская улица";"Северо-Восточный административный округ";"район Северное Медведково";"А93; А71";"Северодвинская ул., 9";"от центра";"нет";"";"активна";"1725520";"{type=Point, coordinates=[37.679801878962, 55.8884256018716]}";
"11238";"«Северодвинская ул., 11», Северодвинская улица (от центра)";"37.6811541626858";"55.8912602113425";"Северодвинская улица";"Северо-Восточный административный округ";"район Северное Медведково";"А71; А93";"Северодвинская ул., 11";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725521";"{type=Point, coordinates=[37.6811541938116, 55.8912598433978]}";
"11239";"«Северодвинская ул., 19», Северодвинская улица (от центра)";"37.6785765189897";"55.8934448078642";"Северодвинская улица";"Северо-Восточный административный округ";"район Северное Медведково";"А93; А71";"Северодвинская ул., 19";"от центра";"нет";"";"активна";"1725522";"{type=Point, coordinates=[37.6785765499766, 55.8934444402214]}";
"11240";"«Метро Юго-Западная», проспект Вернадского (от центра) (2)";"37.4817464609603";"55.6617094199458";"проспект Вернадского";"Западный административный округ";"район Тропарёво-Никулино";"А66; А667; А610; А718; АН1";"Метро Юго-Западная";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725523";"{type=Point, coordinates=[37.481746492316, 55.661709050955]}";
"11115";"«Детский сад», проезд без названия (от центра)";"37.4746197468646";"55.5721974951083";"проезд без названия";"Новомосковский административный округ";"поселение Сосенское";"А600; А895; А753; А288";"Детский сад";"от центра";"нет";"";"активна";"1725524";"{type=Point, coordinates=[37.4746197780068, 55.5721971258891]}";
"11116";"«Совхоз Коммунарка», проезд без названия (в центр)";"37.4808047906681";"55.5674938937045";"проезд без названия";"Новомосковский административный округ";"поселение Сосенское";"А288; А600; А753; А895";"Совхоз Коммунарка";"в центр";"нет";"";"активна";"1725525";"{type=Point, coordinates=[37.4808048214195, 55.567493524247]}";
"11145";"«Стоматологическая п-ка», Северный бульвар (в центр)";"37.6071636015273";"55.8659005011478";"Северный бульвар";"Северо-Восточный административный округ";"район Отрадное";"А692; А880";"Стоматологическая п-ка";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1725527";"{type=Point, coordinates=[37.607163632275, 55.865900133185]}";
"11146";"«Измайловская пл.», Первомайская улица (от центра)";"37.7779856444047";"55.7919891170788";"Первомайская улица";"Восточный административный округ";"район Измайлово";"АН3; Тб22";"Измайловская пл.";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725528";"{type=Point, coordinates=[37.7779856748889, 55.7919887487677]}";
"11147";"«Б. Юшуньская ул. (пос.)», Большая Юшуньская улица (в центр)";"37.5933204761765";"55.6491817838033";"Большая Юшуньская улица";"Юго-Западный административный округ";"район Зюзино";"А189; А218; А218К; А222; А224; А57; А651; А710; А786; А826; А273";"Б. Юшуньская ул. (пос.)";"в центр";"нет";"";"активна";"1725529";"{type=Point, coordinates=[37.5933205062428, 55.649181414711]}";
